Rank,Major,Early Career Pay,Mid-Career Pay
376,Logistics,57600,87000
378,Math & Science,55600,86900
379,International Trade & Business,54800,86800
379,Pre-Medicine,50800,86800
379,Speech & Drama,37500,86800
379,Toxicology,44600,86800
383,Advertising & Marketing,49000,86700
383,Geographic Information Systems (GIS) & Spatial Analysis,54000,86700
383,Marketing & Mass Communications,45400,86700
383,Welding Technology,48400,86700
387,General Business,50200,86600
388,Construction Engineering Technology,55800,86400
388,Architectural Studies,45400,86400
390,Aviation Maintenance Technology,51000,86300
391,Communication Studies & Journalism,44800,86200
391,Management,51600,86200
393,General Science,49100,86100
393,Magazine Journalism,46800,86100
395,Electronics & Computer Technology,55600,86000
395,Theatre & Drama Studies,44800,86000
397,Animation,45000,85900
397,Biology & Chemistry,49200,85900
397,Diagnostic Medical Ultrasound,67700,85900
397,History & Politics,49500,85900
397,Public Affairs,52700,85900
397,Romance Languages,53000,85900
397,Physiology,49300,85900
404,Corporate Communications,48500,85700
404,International Affairs,51600,85700
404,Nursing Science,66800,85700
404,Organizational Development,53800,85700
404,Textile & Apparel Studies,47100,85700
409,Business Administration,52800,85600
409,Business Administration & Accounting,52400,85600
409,Philosophy & Religion,43800,85600
412,Architectural Design,47700,85400
413,Textile Design,50000,85200
413,Interpersonal & Organizational Communication,42400,85200
415,Geographic Information Systems (GIS),50000,85100
416,Business Management,51700,85000
417,Linguistics,52100,84900
418,French Language,49600,84800
419,Communication,48000,84700
419,Neuroscience,51800,84700
421,Business Management & Human Resources Management (HRM),46800,84600
421,Journalism & Mass Communication,46300,84600
423,Accounting & Management,55500,84500
424,Sociology & Organizational Studies,53500,84300
425,Crop Science,48700,84200
425,French Studies,52400,84200
425,Writing,44200,84200
425,Nursing,65000,84200
429,History,47800,84100
430,Biology,47100,84000
430,Land Surveying,51900,84000
432,Architectural Technology,46700,83900
432,Health Care,44400,83900
432,Integrated Marketing Communications,47000,83900
435,Agriculture,47700,83800
436,Digital Design,50000,83600
436,Marketing & Advertising,49300,83600
436,Organizational Communication,46400,83600
439,Visual Effects & Motion Graphics,48100,83400
440,Public Relations & Communication,45700,83300
440,General & Strategic Management,51200,83300
442,Foreign Languages,48400,83100
442,Retail Merchandising,50900,83100
444,Agribusiness Management,47700,83000
444,Global Business,55800,83000
444,Professional & Technical Writing,48500,83000
447,Computer Art,40400,82900
447,Environmental Management,50200,82900
447,Environmental Studies,48500,82900
447,Journalism,45900,82900
447,Travel Industry Management,52600,82900
452,International Development Studies,47700,82800
452,Natural Sciences,45100,82800
452,Retail & Consumer Science,51800,82800
452,Literature,46800,82800
456,Bachelor in Science Nursing,64000,82700
456,History & Political Science,50600,82700
456,Museum Studies,38900,82700
459,Computer Information Management,49400,82600
459,Dental Hygiene,72700,82600
459,Law,54300,82600
459,Network Technology,59800,82600
463,Media Studies,50700,82400
464,Environmental Geography,50200,82300
465,Law Enforcement,46700,82200
466,Nuclear Medicine,60300,81900
466,Bachelor of Science in Nursing,63800,81900
468,Computer Animation,46800,81800
468,Landscape Architecture,51500,81800
468,Publishing,46300,81800
471,Interior Architecture,47600,81500
472,Diagnostic Medical Sonography,64300,81400
472,Environmental & Natural Resource Economics,52400,81400
472,Public Relations (PR),45600,81400
472,Workforce Education & Development,59900,81400
476,American History (United States),50900,81300
477,Drama,47400,81100
478,Management (MGT),47000,81000
479,Merchandising Management,46800,80900
480,Environmental Biology,45000,80800
481,Accounting & Business,52400,80700
482,Automotive Technology & Service Management,48800,80500
482,Speech Communication,46700,80500
484,Allied Health,44800,80400
485,Agricultural Systems Technology,60500,80300
485,Emergency Management,50900,80300
485,Network Administration,48700,80300
488,Communication Management,46000,80200
489,Historic Preservation,43400,80000
490,Broadcast Journalism,42900,79900
490,Broadcast & Cinematic Arts,42800,79900
492,Automotive Technology,48100,79800
492,Business Management & Administration,51400,79800
494,Agricultural Business,52700,79700
494,Technology Management,56400,79700
496,Global Studies,51200,79600
496,Professional Studies,42800,79600
498,Interpersonal Communications,45000,79500
499,Forestry,45900,79400
499,Homeland Security,49200,79400
501,Ancient History,46000,79300
501,Botany,42600,79300
501,Geography,49700,79300
504,Computer Aided Design (CAD),48700,79200
504,Nutrition Science,49500,79200
506,Acting,44200,79100
506,Public Management,50200,79100
508,Nuclear Medicine Technology,61700,79000
509,Apparel & Textile Manufacture,48300,78900
509,English Language & Literature,46400,78900
509,Urban Studies,51500,78900
512,Mass Communication,44800,78800
513,Forestry Management,48600,78700
513,Radio/Television & Film Production,45700,78700
515,Hospital Management,53200,78600
516,Human Resources Management (HRM),47900,78500
517,Marine Science,46100,78400
518,American Sign Language Interpreting,43100,78300
518,English & History,45700,78300
518,English Language,44600,78300
521,Cytotechnology,61900,78200
521,Geosciences,48700,78200
521,Hospital Administration,51200,78200
524,Film Production,44600,78100
524,Marine Biology,43300,78100
526,Zoology,42100,77900
527,Communication Design,51700,77800
528,Leadership,47200,77500
528,Music Technology,44800,77500
528,Musicology,40000,77500
528,Technical Writing,53300,77500
532,Agricultural Communication,44600,77400
532,Logistics Management,56300,77400
534,German Language & Literature,49400,77300
535,Administration,44600,77100
535,Apparel Merchandising,47600,77100
535,Computer Aided Drafting & Design (CADD),49100,77100
535,Organizational Leadership & Supervision,49600,77100
535,Printing Technology,46200,77100
535,Spanish Language,47700,77100
541,Multimedia,44700,77000
542,Spanish Language Teacher Education,45500,76900
542,Public Administration,46700,76900
542,Human Nutrition,48600,76900
545,Audio Engineering,48300,76800
545,Graphics Technology & Management,39500,76800
545,Physical Anthropology,52900,76800
548,Organizational Leadership,50500,76700
549,Environmental Health Science,53800,76600
549,Health Sciences,44600,76600
551,Journalism & Electronic Media,45200,76500
552,Religious Studies,43900,76300
553,Art History,46600,76200
553,Radiologic Science,57600,76200
555,3D Animation,51800,76000
556,Culture Studies,48100,75900
556,Merchandising,53100,75900
558,Administrative Management,52700,75800
558,Human Resources (HR),47300,75800
558,Liberal Arts,44500,75800
561,Adult Education & Training,48700,75600
561,Fashion Merchandising,46900,75600
561,Health & Fitness,39800,75600
564,Natural Resources,47400,75500
564,Organizational Management,48800,75500
566,Modern Languages,50300,75400
566,Natural Resource Management,46500,75400
566,Retail Management,50100,75400
566,Sociology & Anthropology,44500,75400
570,Creative Writing,45300,75200
571,Criminal Justice Administration,45700,75100
572,Ethnic Studies,47500,74900
572,Philosophy & Religious Studies,49300,74900
572,Radiology,54800,74900
575,Medical Laboratory Technology,56900,74400
575,Sports Management,45400,74400
577,Anthropology & English,48000,74300
577,Broadcast Communication,40000,74300
577,Criminology,44700,74300
577,Earth Science,50000,74300
577,Media & Technology,45200,74300
577,Visual Communications,45400,74300
583,Advertising & Graphic Design,46800,74200
583,Applied Behavior Analysis,38700,74200
583,Psychology,44700,74200
586,Applied Management,45500,74100
586,Hotel & Restaurant Management,47300,74100
588,Anthropology,46400,73900
589,Arts Management,39400,73800
589,Diagnostic Medical Imaging,60600,73800
591,Communication Arts,42400,73600
591,Middle Eastern Studies,57100,73600
591,Radiologic Technology,55200,73600
591,Painting & Printmaking,34700,73600
595,Cardiopulmonary Science,48900,73400
595,Human Relations,45000,73400
597,Humanities,48500,73200
598,Health Care Administration,45800,73100
599,Health Care Management,46700,73000
599,Life Sciences,53100,73000
601,Ecology,46400,72900
601,Media Arts,46500,72900
603,Respiratory Care,54800,72800
604,Art & Design,45100,72700
604,Health Information Management,49000,72700
604,Hospitality Management,46400,72700
607,Health Teacher Education,37900,72600
607,Sports Medicine,50100,72600
607,Multimedia & Web Design,50200,72600
610,Sociology,46200,72500
611,Liberal Studies,44300,72400
612,Interior Design,45100,72300
612,Medical Laboratory Science,55600,72300
612,Secondary Education,44600,72300
615,Child Psychology,38900,72200
615,Exercise Physiology,44100,72200
615,Radiography,55300,72200
618,Archaeology,45900,72100
618,Art Administration,40200,72100
618,Hotel & Restaurant Tourism,44300,72100
618,Illustration,45200,72100
622,Arts & Science,45700,71900
622,Health,44200,71900
622,Turfgrass Management,53100,71900
625,Animal Science & Management,44200,71800
626,SocialStudies,45800,71700
627,Human Resources Development,48600,71600
627,Speech Pathology & Audiology,44100,71600
629,Clinical Laboratory Science,55100,71500
629,Forensic Science,46000,71500
629,Health Administration,42700,71500
632,Geomatics,52300,71400
632,Media Communication,47000,71400
634,Health Management,45100,71300
634,Commercial Photography,43800,71300
636,Fashion Design & Marketing,45300,71100
636,Mass Media,40300,71100
638,Medical Technology,56500,71000
639,Respiratory Therapy,54500,70900
640,Theater,44600,70700
641,Forensic Psychology,43000,70600
641,Kinesiology,44800,70600
643,Performing Arts,45700,70500
643,Psychology & Social Behavior,45800,70500
643,Religion,44400,70500
643,Radio & Television,43100,70500
647,Technology Teacher Education,47700,70400
648,Educational Studies (ED),40300,70200
648,Music,44300,70200
648,Business Leadership,50100,70200
651,Drafting & Design,51000,70100
651,Plant Sciences,48000,70100
653,Criminal Justice,42800,69800
653,Web Design,49900,69800
655,Graphic Design,45100,69700
656,Nutrition,48100,69600
656,Nutrition & Dietetics,50800,69600
658,Missions,41300,69500
659,Dramatic Art,41400,69400
660,Fashion Marketing & Management,47700,69100
661,Interdisciplinary Studies (IS),44600,68900
662,Hospitality & Tourism,44200,68800
662,Human Ecology,42100,68800
662,Ornamental Horticulture,46000,68800
662,Physical Therapist Assistant Studies,49900,68800
662,Public Health (PH),46000,68800
667,Art Therapy,41100,68600
667,Dietetics,51300,68600
667,Landscape Management,52300,68600
670,Applied Sociology,42200,68500
670,Fine Arts,43200,68500
670,Modern Language Spanish,43800,68500
670,Women's Studies,45200,68500
670,Social & Criminal Justice,44800,68500
675,Animal Science,41200,68300
675,New Media,46000,68300
675,Textiles & Clothing,45100,68300
678,Event Management,41700,68200
679,Family & Consumer Science,42600,68000
680,Speech-Language Pathology,44100,67900
681,Technical Theatre,41000,67600
682,Education,44100,67500
682,Foods & Nutrition,47000,67500
682,Recreation Management,42300,67500
685,Business & Healthcare Management,46900,67300
686,Agricultural Teacher Education,53500,67100
687,Music Composition,44000,66900
688,Art,43400,66700
688,Psychology & Sociology,42800,66700
690,Drawing & Painting,42800,66600
691,Nonprofit Management,42300,66300
692,Small Business Management,47100,66200
693,Behavioral Science,43000,66000
694,Horticulture & Agronomy,52500,65900
695,Health Services Administration,42700,65800
695,Multidisciplinary Studies,41800,65800
695,Restaurant & Food Service Management,43900,65800
698,Consumer Affairs,51000,65700
699,Training and Development,52600,65600
699,Health & Exercise Science,41700,65600
699,Electronic Media,45300,65600
702,Environmental Resource Management,48700,65500
703,Theatre Arts,43500,65300
704,Applied Linguistics,46800,65200
705,African American & African Studies,46400,65100
705,Exercise & Sports Science,42600,65100
705,General Studies,43600,65100
705,Justice Studies,45300,65100
705,Video Production,42800,65100
710,Graphic Arts,42700,64900
710,Physical Education Teaching,42200,64900
712,Health Services Management,41600,64800
712,Physical Education & Exercise Science,44100,64800
712,Drawing,37400,64800
715,Exercise Science,41400,64700
716,Printmaking,38400,64300
716,Sports Administration,43300,64300
716,Theology,42800,64300
719,Interior Design & Merchandising,43700,64200
719,Recreation & Leisure Studies,40300,64200
721,Human Development,43700,64100
721,Music Industry,45800,64100
721,Wildlife Management,39700,64100
721,Supervision & Management,41700,64100
725,Health & Wellness,40100,64000
725,Culinary Arts & Food Service Management,41300,64000
725,Mortuary Science,43500,64000
728,Clinical Psychology,43000,63900
728,Community Health Education,42600,63900
728,Dance,45100,63900
731,Speech Pathology,42800,63700
732,Gender Studies,45500,63600
732,Secondary English Teacher Education,42000,63600
734,Photography,43800,63500
735,English Teacher Education,43300,63100
735,Paralegal Studies,39600,63100
735,Social Studies Teacher Education,43400,63100
738,Teaching English as a Second Language (ESL),42800,63000
738,Music Teacher Education,42000,63000
740,Health Promotion,42300,62800
740,Recording Arts,44800,62800
742,Photojournalism,41900,62600
743,Recreation Administration,47000,62500
744,Radio Broadcasting,46300,62400
745,Sculpture,40300,62200
746,Painting,40700,62000
746,Psychology & Social Sciences,42600,62000
748,Health & Physical Education Teaching,38700,61900
749,Organizational Administration,45000,61800
750,Tourism Management,43100,61600
750,Instrumental Music Teacher Education,41700,61600
752,Emergency Medical Services (EMS),44200,61400
753,Community Health,45400,61300
754,Health & Human Performance,38100,61100
755,Music Therapy,43100,60700
756,Social Services,39900,60500
757,Rehabilitation Services,35800,60200
758,Horticulture,43000,60100
759,University Studies,42400,60000
760,Church Ministries,40000,59900
761,Communicative Disorders,47400,59800
761,Social Science Teacher Education,45400,59800
761,Wildlife Biology,42900,59800
764,Community Development,44600,59400
764,Psychology & Human Services,35600,59400
766,Athletic Training,42100,59300
767,Biblical Studies,40500,59000
768,Biblical Studies & Practical Ministries,36400,58900
768,Counseling Psychology,42700,58900
768,Recreational Studies,42100,58900
768,Teaching,42000,58900
772,Home Economics,41800,58700
772,Library & Information Science,48200,58700
774,Human Development & Family Studies,40300,58600
774,Tourism & Travel,42200,58600
776,Landscape Design,49000,58500
777,Ceramics,42200,58300
777,Clinical Social Work (CSW),43500,58300
777,Parks & Recreation Management,42700,58300
780,Pastoral Ministry,38700,58000
780,Vocal Performance,42600,58000
782,Art Teacher Education,40300,57500
782,Bible Studies & Theology,40000,57500
784,Forensic Accounting,48300,57200
785,Communication Sciences & Disorders,43300,57100
785,Legal Assistant Studies,38100,57100
787,Special Education,41300,57000
788,Conservation Biology,42800,56900
789,Family Studies,39200,56800
790,Christian Ministry,38100,56400
790,Speech & Hearing,43300,56400
792,Health and Human Services,43500,56300
793,Musical Theatre,43500,56100
794,History Teacher Education,47700,55600
795,Developmental Psychology,38200,55000
796,Therapeutic Recreation,39500,54900
797,Applied Behavioral Science,40500,54600
797,Community & Human Services,42400,54600
797,Social Work (SW),38600,54600
800,Office Administration,38700,54500
801,Ministry,36700,54300
801,Family & Community Services,42200,54300
803,Youth Ministry,37400,54200
804,Elementary Education,40000,53800
805,Voice & Opera,34500,53300
806,Christian Education,38700,53200
806,Conflict Resolution,44400,53200
808,Baking & Pastry Arts,37500,53000
808,Human Services Management,45600,53000
810,Hospitality & The Culinary Arts,38800,52900
811,Human Services (HS),38700,52500
812,Counseling,39900,51700
813,Recreational Therapy,38400,51600
814,Child Development,37400,51400
815,Educational Psychology,36900,51200
816,Middle School Education,41200,50800
817,Mental Health Counseling,36100,50000
818,Early Childhood & Elementary Education,38000,48400
819,Equine Studies,35700,47100
820,Addiction Studies,38000,47000
821,Child & Family Studies,36400,46500
822,Rehabilitation Counseling,39200,46400
823,Outdoor Education,37400,46300
824,Early Childhood Education,36100,45400
825,Mental Health,36900,45000
826,Medical Assisting,36000,44800
827,Metalsmithing,40000,40300
